make,model_principal,alias
Chevrolet,Impala,impala limited
Maserati,Ghibli,ghibli v6 sq4
Jaguar,Xjl,xjl awd
Bmw,5 Series,535d
Mobility Ventures Llc,Mv-1,mv-1 cng
Toyota,Prius C,prius c
Mercedes-Benz,E-Class,e63 amg 4matic
Mercedes-Benz,E-Class,e400 4matic coupe
Mercedes-Benz,Cls-Class,cls400 4matic
Bmw,6 Series,650i coupe
Bmw,X3,x3 xdrive28d
Fiat,500 X,500 x
Audi,Q3,q3 quattro
Hyundai,Genesis,genesis awd
Mercedes-Benz,Cls-Class,cls550 4matic
Porsche,Cayenne,cayenne s e-hybrid
Bmw,2 Series,228i convertible
Toyota,Rav4,rav4 le/xle
Bmw,6 Series,640i xdrive convertible
Ford,Escape,escape fwd ffv
Jaguar,F-Pace,f-pace
Audi,S3,s3
Jeep,Cherokee,cherokee 4wd active drive ii
Mercedes-Benz,Gle-Class,amg gle43 4matic coupe
Dodge,Power Ram 50 Pickup,power ram50 4wd
Buick,Cascada,cascada
Aston Martin,Vantage,v12 vantage s
Lexus,Ls,ls 460 l
Audi,A3,a3 cabriolet
Infiniti,Q50,q50 hybrid
Mercedes-Benz,S-Class,s65 amg coupe
Gmc,Pickup,v25 pickup 4wd
Tesla,Model S,model s awd - 60d
Tesla,Model S,model s awd - 75d
Tesla,Model S,model s awd - 90d
Mobility Ventures Llc,Mv-1,mv-1
Infiniti,Qx30,qx30
Mercedes-Benz,Cla-Class,cla250
Mercedes-Benz,Gle-Class,amg gle63 s
Mercedes-Benz,S-Class,s560 4matic
Mercedes-Benz,E-Class,e400 4matic convertible
Lexus,Rc,rc 300 awd
Bmw,I3,i3s (94ah)
Toyota,Highlander,highlander hybrid awd
Cadillac,Xt4,xt4 fwd
Cadillac,Xt4,xt4 awd
Jaguar,E-Pace,e-pace p250
Jaguar,E-Pace,e-pace p300
Ford,Transit T150 Wagon,transit t150 wagon
Mercedes-Benz,S-Class,s560
Ford,F150,f150 2wd ffv base payload lt
Mercedes-Benz,Amg Gt,amg gt s coupe
Aston Martin,Vanquish,vanquish s
Dodge,Journey,journey
Bmw,M,m240i convertible
Jaguar,Xjs,xj-sc
Porsche,911,911 speedster
Mercedes-Benz,Metris Cargo,metris (passenger van)
Ford,Mustang,mustang ho convertible
Honda,Accord,accord 2.0t sport/touring
Mercedes-Benz,Amg Gt,amg gt r coupe
Kia,Niro,niro touring
Roush Performance,Stage 3 Mustang,stage 3 mustang
Bmw,X6,x6 m
Tesla,Model Y,model y performance awd
Polestar,1,1
Ferrari,812 Gts,812 gts
Bmw,X6,x6 sdrive40i
Audi,Q3,q3 s-line quattro
Bmw,I3,i3s with range extender
Bmw,X2,x2 xdrive28i
Hyundai,Tucson,tucson hybrid blue
Hyundai,Santa Fe,santa fe hybrid blue
Jeep,Grand Wagoneer,grand wagoneer 2wd
Maserati,Levante,levante modena
Kia,Sorento,sorento plug-in hybrid
Ford,Maverick,maverick awd
Porsche,718,718 cayman s
Porsche,718,718 cayman t
Ford,Bronco,bronco raptor 4wd
Bmw,M,m4 competition m xdrive coupe
Bmw,5 Series,540i xdrive sedan
Dodge,Charger,charger srt widebody
Lucid,Air,air touring awd with 20 inch wheels
Volvo,960,960
Volvo,940,940 wagon
Bmw,3 Series,318i/318is
American Motors Corporation,Eagle,eagle 4dr wagon
Chevrolet,Impala/Caprice,caprice/impala
Aston Martin,Saloon/Vantage/Volante,saloon/vantage/volante
Mercedes-Benz,E-Class,e420
Volkswagen,Golf/Gti,golf iii
Chevrolet,Astro Passenger,astro awd (passenger)
Land Rover,Range Rover,range rover county classic
Bmw,8 Series,840ci
Buick,Somerset Regal,somerset regal
Vector,Avtech Sc / M12,avtech sc / m12
Infiniti,J30,j30
Volkswagen,Golf/Gti,gti vr6
Rolls-Royce,Brooklands/Turbo R,brooklands
Gmc,Safari Cargo,safari 2wd (cargo)
Cadillac,Fleetwood/Deville,fleetwood/deville (fwd)
Daewoo,Nubira,nubira wagon
Ford,F250,f250 pickup 2wd cng
Ferrari,F355/355 F1,f355/355 f1
Chevrolet,Silverado,silverado 2500 2wd
Volvo,C70,c70 coupe
Hyundai,Elantra,elantra wagon
Chrysler,Town And Country/Voyager/Grand Voyager,town and country/voyager/grand voy. awd
Mercedes-Benz,190,190
Nissan,Altra Ev,altra ev
Volvo,S60,s60
Gmc,Savana Passenger,savana 1500/2500  2wd (passenger)
Volkswagen,Eurovan,eurovan camper
Lamborghini,Countach,countach
Chevrolet,Tracker,tracker lt 2wd
Suzuki,Vitara,vitara 2door
Chevrolet,S10 Pickup,s10 pickup 2wd ffv
Dodge,Neon/Srt-4/Sx 2.0,neon/srt-4/sx 2.0
Mercedes-Benz,Cl-Class,cl55 amg
Mercedes-Benz,Ml-Class,ml320
Chevrolet,Avalanche,avalanche 1500 awd
Aston Martin,Db Ar1,db ar1
Chrysler,Crossfire,crossfire
Mercedes-Benz,Cl-Class,cl65 amg
Audi,5000,5000 s
Chevrolet,Ssr Pickup,ssr pickup 2wd
Maserati,Coupe Cambiocorsa/Gt/G-Sport,coupe cambiocorsa/gt/g-sport
Texas Coach Company,500Se,500se
Mercedes-Benz,E-Class,e320 cdi
Bmw,Z4,z4 m roadster
Cadillac,Xlr,xlr
Porsche,Carrera 2 S Cabriolet,carrera 2 s cabriolet
Porsche,Carrera 4 S Cabriolet,carrera 4 s cabriolet
Bmw,3 Series,328cxi
Nissan,Truck,truck 2wd (new version)
Lexus,Gs,gs 430
Roush Performance,F150,stage 3 f150 super crew 2wd
Spyker,C8,c8 double 12 spyder
Bmw,Z4,z4 m coupe
Infiniti,M35,m35
"Tecstar, Lp",Foose F150,foose f150 regular cab 2wd
Bentley,Brooklands,brooklands
Nissan,Truck,truck 4wd (new version)
Mercury,Mariner,mariner hybrid 4wd
Chevrolet,Van 1500,van 1500 2wd cargo
Infiniti,Ex35,ex35
Lincoln,Mks,mks fwd
Kenyon Corporation Of America,Kenyon 5.0 Cabrio,kenyon 5.0 cabrio
Avanti Motor Corporation,Avanti Ii,avanti ii
Maserati,Biturbo,biturbo
Bmw,3 Series,3 series
Chrysler,E Class/New Yorker,e class/new yorker
Mercedes-Benz,C-Class,amg c63 s coupe
Bmw,8 Series,m850i xdrive gran coupe
Kia,Carnival,carnival
Mazda,Cx-90,cx-90 4wd
Bmw,I4,i4 edrive40 gran coupe (19 inch wheels)
Volvo,Xc60,xc60 t8 awd recharge
Volvo,Xc40,xc40 b5 awd
Hyundai,Venue,venue
Audi,E-Tron Gt,e-tron gt
Bmw,I7,i7 xdrive60 sedan (19 inch wheels)
Mercedes-Benz,Eqe,amg eqe 4matic plus (suv)
Rivian,R1S,r1s 21 inch dual large
Audi,A5,a5 cabriolet quattro
Audi,Rs,rs 6 avant
Land Rover,Range Rover,range rover sport mhev
Bmw,Xm,xm
Chevrolet,Colorado,colorado mud terrain tires 4wd
Ineos Automotive,Grenadier,grenadier trialmaster edition
Ford,Mustang Mach-E,mustang mach-e rwd
Mazda,B Pickup,b2600 4x4
Toyota,Van,van 2wd (cargo)
Isuzu,Pickup,pickup 2wd 1-ton
Gmc,S15 Pickup,s15 pickup 4wd
Geo,Tracker,tracker hardtop 4wd
Suzuki,Samurai,samurai hardtop
Mazda,323 Protege,323 protege 4x4
Volvo,940,940 turbo
Eagle,Premier,premier
Gmc,Jimmy,jimmy v1500 4wd
Subaru,Loyale,loyale 4wd
Rolls-Royce,Eight/Mulsan/Mulsanne,eight/mulsanne s and s
Bmw,6 Series,645ci convertible
Mercedes-Benz,E-Class,e320
Pontiac,Montana,montana awd
Mercedes-Benz,C-Class,c320 sports coupe ffv
Porsche,Carrera 4 Cabriolet Kit,carrera 4 cabriolet kit
Ford,Escape,escape hybrid 2wd
Mercury,Mariner,mariner 2wd
Honda,Cr-V,cr-v 2wd
Infiniti,M45,m45
Saturn,Relay,relay fwd
Isuzu,Ascender,ascender 7-passenger 2wd
Gmc,Sierra,sierra classic 1500 4wd
Lamborghini,Gallardo,gallardo coupe sl
Volvo,S40,s40 awd
Volvo,740/760,740/760 wagon
Roush Performance,F150,stage 3 f-150 4wd
Lexus,Rx,rx 400h 2wd
Gmc,Yukon,yukon denali 1500 awd
Mazda,Cx-9,cx-9 4wd
Bentley,Continental Flying Spur,continental flying spur
Cadillac,Escalade,escalade esv 2wd
Bmw,3 Series,335i xdrive
Lexus,Rx,rx 450h
Toyota,Starlet,starlet
Bmw,7 Series,7 series
Vixen Motor Company,21 Td,21 td
American Motors Corporation,Eagle,eagle
Buick,Roadmaster,roadmaster
Ferrari,308,308
Mercedes-Benz,S-Class,s500 sedan
Porsche,928,928 gts
Rolls-Royce,Corniche/Continental,continental (turbo)
Mercedes-Benz,S-Class,s420
Mercedes-Benz,C-Class,c280
Suzuki,Sidekick,sidekick sport 2wd
Oldsmobile,Eighty-Eight/Regency/Lss,eighty-eight/regency/lss
Mercedes-Benz,E-Class,e320 wagon
Mitsubishi,Nativa,nativa 2wd
Suzuki,Sidekick,sidekick 2door rwd
Mercedes-Benz,Clk-Class,clk320 cabriolet
Bentley,Azure,azure
Mercedes-Benz,E-Class,e320 sedan 4matic
Mazda,B Pickup,b3000 ffv 4wd
Saab,9-3,9-3 viggen convertible
Mercedes-Benz,E-Class,e320 4matic
Ford,Windstar,windstar fwd cargo van
Ford,E250 Econoline,e250 econoline 2wd cng
Bmw,3 Series,325i sport wagon
Audi,Allroad,allroad
Ford,Explorer,explorer usps 4wd
Ford,F150,f150 cng
Mercury,Sable,sable (ffv)
Ferrari,575,575
Saturn,Lw,lw300
Gmc,Sonoma,sonoma 2wd (ffv)
Ford,F150,f150 dual-fuel 2wd (cng)
Jaguar,X-Type,x-type
Mercury,Marauder,marauder
Mercedes-Benz,C-Class,c320 (wagon)
Lincoln,Navigator,navigator l 4wd
Ferrari,F12 Berlinetta,f12 berlinetta
Chevrolet,Cruze,cruze hatchback
Bmw,3 Series,340i xdrive gran turismo
Toyota,Rav4,rav4
Ford,C-Max,c-max energi plug-in hybrid
Nissan,Sentra,sentra nismo
Tesla,Model X,model x awd - p100d
Tesla,Model S,model s (60 kw-hr battery pack)
Bmw,4 Series,440i gran coupe
Kia,Sportage,sportage fe awd
Maserati,Ghibli,ghibli  s rwd
Honda,Civic,civic si 2dr
Bmw,M,m4 dtm champions edition
Ford,F150,f150 3.5l 4wd gvwr>7599 lbs
Audi,R8,r8 rwd
Bmw,5 Series,540d xdrive
Tesla,Model X,model x 75d
Chevrolet,Corvette,corvette z06
Mercedes-Benz,S-Class,amg s65 convertible
Lincoln,Mkt,mkt hearse awd
Aston Martin,Db11,db11 v8
Chevrolet,Suburban,v10 (k10) suburban 4wd
Fiat,500,500 l
Kia,Stinger,stinger rwd
Mercedes-Benz,E-Class,e300
Nissan,Frontier,frontier 4wd ffv
Land Rover,Range Rover,range rover sport svr
Lexus,Gs,gs 300 f sport
Mercedes-Benz,C-Class,amg c43 4matic convertible
Chevrolet,Silverado,silverado k10 4wd trailboss
Kia,Telluride,telluride fwd
Roush Performance,F150,f150 pickup 4wd
Red Shift Ltd.,Delta 204T,delta 204t
Subaru,Brz,brz ts
Bmw,M,m850i xdrive convertible
Bmw,M,m8 gran coupe
Tesla,Model S,model s performance (21in wheels)
Karma,Revero,revero gt (21-inch wheels)
Audi,Tt,tt rs
Volkswagen,Atlas,atlas
Bmw,X3,x3 m competition
Mclaren Automotive,570Gt,570gt
Aston Martin,Vantage,vantage manual
Bmw,M,m340i
Land Rover,Defender,defender 90 mhev
Mercedes-Benz,A-Class,amg a35 4matic
Audi,A4,a4 s line quattro
Audi,A5,a5 sportback s line quattro
Dodge,Challenger,challenger awd
Mercedes-Benz,Glc-Class,amg glc63 4matic plus
Volkswagen,Id.4,id.4 pro s
Cadillac,Xt5,xt5 limo fwd
Bmw,8 Series,840i coupe
Roush Performance,Mustang,mustang
Volvo,S90,s90 b6 awd
Bmw,X6,x6 m competition
Toyota,Corolla Cross,corolla cross 4wd
Porsche,Cayenne,cayenne / cayenne coupe
Porsche,Taycan,taycan turbo cross turismo
Mercedes-Benz,S-Class,s580 4matic
Ford,Mustang Mach-E,mustang mach-e awd extended
Bmw,M,m8 competition coupe
Land Rover,Range Rover,new range rover p400 mhev
Audi,Rs,rs 7
Audi,A4,a4 allroad quattro
Jeep,Wagoneer,wagoneer 4wd
Kia,Ev6,ev6 long range awd (20 inch tires)
Kia,Ev6,ev6 long range rwd
Subaru,Solterra,solterra limited/touring awd
Mercedes-Benz,E-Class,e450 coupe
Acura,Rdx,rdx fwd a-spec
Bmw,X5,x5 xdrive45e
Hyundai,Tucson,tucson plug-in hybrid
Lexus,Nx,nx 450h plus awd
Dodge,Charger,charger widebody
Ford,F-150 Lightning,f-150 lightning 4wd
Ford,Maverick,maverick hev fwd
Am General,Dj Po Vehicle,dj po vehicle 2wd
Chevrolet,Suburban,suburban k10 4wd
Mercedes-Benz,500,500e
Ford,Taurus,taurus sho
J.K. Motors,Merc Benz 300E,merc benz 300e
Volkswagen,Jetta,jetta iii glx
Mercedes-Benz,S-Class,s550 4matic
Nissan,Titan,titan fe 2wd
Honda,Ridgeline,ridgeline truck 4wd
Chevrolet,Silverado,silverado c15 xfe 2wd
Mercury,Milan,milan hybrid fwd
Ford,E150 Wagon,e150 wagon ffv
Porsche,Cayman,cayman r
Porsche,911,911 c4 gts
Ford,Transit Connect,transit connect van
Mini,Cooper,cooper s coupe
Mini,John Cooper Works,john cooper works
Chevrolet,Express Passenger,express 3500 2wd passenger
Maybach,Landaulet,landaulet
Audi,A5,a5 cabriolet
Mercedes-Benz,C-Class,c250 coupe
Hyundai,Santa Fe,santa fe sport 4wd
Mini,Countryman,cooper s countryman coupe all4
Ford,Fusion,fusion energi plug-in hybrid
Mercedes-Benz,E-Class,e63 amg s 4matic (wagon)
Land Rover,Range Rover,range rover sport ffv
Bmw,4 Series,435i xdrive gran coupe
Peugeot,505,505
Bmw,4 Series,428i coupe
Mercedes-Benz,Ml-Class,ml400 4matic
Ferrari,458 Italia,458 italia
Honda,Civic,civic natural gas
Chevrolet,Ss,ss
Ford,Focus,focus electric
Honda,Hr-V,hr-v 2wd
Smart,Fortwo,fortwo electric drive convertible
Lexus,Is,is 200t
Land Rover,Range Rover,range rover sport tdv6
Mercedes-Benz,C-Class,c450 amg
Acura,Tlx,tlx 4wd
Nissan,Juke,juke nismo rs awd
Audi,A3,a3 e-tron ultra
Tesla,Model S,model s awd - p85d
Nissan,Murano,murano hybrid awd
Lordstown,Endurance,endurance
Lexus,Nx,nx 350 awd
Cadillac,Ct5,ct5 v awd
Volvo,S60,s60 t8 awd recharge
Jaguar,Xf,xf p250
Bmw,I5,i5 m60 xdrive sedan (19 inch wheels)
Hyundai,Ioniq 6,ioniq 6 long range awd (20 inch wheels)
Volkswagen,Gli,gli
Land Rover,Defender,defender 130 p300 mhev
Lexus,Lx,lx 600
Kia,Ev9,ev9 long range awd gt-line
Kia,Sportage,sportage plug-in hybrid
Ferrari,F175 Aha,f175 aha
Dodge,Challenger,challenger srt demon 170
Aston Martin,Valour,valour
Kia,K5,k5 awd
Chevrolet,Trailblazer,trailblazer awd
Chevrolet,Blazer,blazer ev rwd
Ford,F-150 Lightning,f-150 lightning pro 4wd extended range
Rivian,R1S,r1s all-terrain dual large (20in)
Rivian,R1S,r1s performance dual standard (22in)
Mercury,Sable,sable wagon v6 a/c
Peugeot,505,505 wagon
Maserati,228,228
Buick,Estate Wagon,estate wagon
Suzuki,Samurai,samurai soft-top 4wd
Lexus,Es,es 250
Subaru,Legacy/Outback,legacy turbo
Import Trade Services,Its 520,its 520
Chrysler,New Yorker Fifth Avenue/Imperial,new yorker fifth avenue/imperial
Mercedes-Benz,300,300te
Ford,Aerostar Van,aerostar van awd
Nissan,Nx,nx
Wallace Environmental,Wetl 300,wetl 300 ce
Nissan,Axxess,axxess
Chrysler,Town And Country,town and country 4wd
Jaguar,Xjrs,xjrs coupe
Subaru,Legacy/Outback,legacy awd turbo
Toyota,86,86
Porsche,911,911 r
Bmw,3 Series,330i xdrive gran turismo
Audi,A4,a4 ultra
Nissan,Rogue,rogue hybrid  fwd
Subaru,Impreza/Outback Sport,impreza 4-door
Ferrari,California T,california t
Hyundai,Santa Fe,santa fe sport fwd
Honda,Ridgeline,ridgeline fwd
Bmw,M,m2
Infiniti,Q60,q60 red sport
Toyota,Van,van 4wd
Pagani,Huayra,huayra
Mercedes-Benz,Metris Cargo,"metris (cargo van, lwb)"
Bmw,M,m3 cs
Lincoln,Mkc,mkc fwd
Mercedes-Benz,S-Class,s560 4matic coupe
Ford,F150,f150 2.7l 2wd gvwr>6649 lbs
Mercedes-Benz,Glc-Class,amg glc63 4matic coupe
Nissan,Leaf,leaf (62 kw-hr battery pack)
Bmw,M,m240i xdrive coupe m performance
Volvo,V90,v90 fwd
Chevrolet,Sprint,sprint metro
Bmw,X7,x7 xdrive50i
Lexus,Es,es 300h
Toyota,Camry,camry trd
Bmw,3 Series,330e xdrive
Porsche,Taycan,taycan 4s perf battery plus
Buick,Encore,encore fwd
Mclaren Automotive,570S Coupe,570s coupe
Audi,A6,a6 allroad
Lexus,Rx,rx 350 l
Gmc,Sierra,sierra 4wd at4
Aston Martin,Vantage Manual,vantage manual
Volvo,S60,s60 awd phev
Jaguar,E-Pace,e-pace mhev
Porsche,Panamera,panamera 4s e-hybrid executive
Nissan,Pathfinder,pathfinder 4wd platinum
Toyota,Corolla,corolla apex
Lamborghini,Huracan,huracan coupe
Audi,Q5,q5 sportback s line quattro
Volvo,S60,s60 b5 awd
Bmw,5 Series,530i sedan
Bmw,4 Series,m440i xdrive coupe
Lexus,Rc,rc 350
Jeep,Grand Cherokee,grand cherokee l 2wd
Kia,Ev6,ev6 rwd (long range)
Kia,Ev6,ev6 rwd (standard range)
Ford,Mustang Mach-E,mustang mach-e gt performance
Volkswagen,Golf/Gti,gti 16v
Mclaren Automotive,765Lt Spider,765lt spider
Genesis,Gv70,gv70 awd
Land Rover,Range Rover,new range rover p360 mhev
Audi,5000,5000 cs quattro
Audi,5000,5000 cs turbo
Hyundai,Elantra,elantra hybrid blue
Chrysler,Executive Sedan/Limousine,executive sedan/limousine
Volkswagen,Golf/Gti,golf-r
Volkswagen,Taos,taos 4motion
Land Rover,Range Rover,new range rover sport p360 mhev
Bmw,M,m5 competition sedan
Bmw,X4,x4 m competition
Cadillac,Escalade,escalade v 4wd
Volvo,Xc90,xc90 b6 awd
Land Rover,Defender,defender 130 p400 mhev
Rolls-Royce,Ghost,ghost extended
Rolls-Royce,Ghost,ghost black badge
Toyota,Corolla,corolla hybrid
Nissan,Altima,altima sl/sr
Ferrari,Monza Sp1,monza sp1
Bmw,Ix,ix xdrive50 (21 inch wheels)
Porsche,Taycan,taycan 4 cross turismo
Lexus,Nx,nx 250 awd
Chrysler,Voyager,voyager
Wallace Environmental,Wetl 190E,wetl 190e
Wallace Environmental,Wetl 560,wetl 560 sec
J.K. Motors,Merc Benz 300Te,merc benz 300te
J.K. Motors,Bmw635L6,bmw635l6
Lexus,Gs,gs300
Subaru,Rx Turbo,rx turbo
Toyota,Fj Cruiser,fj cruiser 2wd
Bmw,7 Series,alpina b7 swb xdrive
Mercury,Milan,milan awd ffv
Mercedes-Benz,E-Class,e63 amg
Bmw,5 Series,550i xdrive gran turismo
Ford,Escape,escape hybrid fwd
Suzuki,Sx4,sx4 sport
Porsche,Panamera,panamera turbo
Chevrolet,Express Cargo,express 2500 2wd cargo
Hyundai,Veracruz,veracruz 2wd
Infiniti,Jx35,jx35 fwd
Chevrolet,Suburban,suburban 2500 4wd
Ram,C/V,c/v
Jaguar,Xf,xf ffv
Bmw,5 Series,activehybrid 5
Mini,Paceman,cooper paceman
Bmw,6 Series,640i xdrive coupe
Chevrolet,Spark,spark ev
Bmw,2 Series,m235i
Dodge,Viper,viper srt
Mercedes-Benz,S-Class,s550 4matic coupe
Infiniti,Q50,q50a awd
Mercedes-Benz,E-Class,e400 hybrid
Jaguar,Xj,xj awd
Porsche,Panamera,panamera turbo s executive
Bmw,5 Series,528i xdrive
Infiniti,Q70,q70 hybrid
Tesla,Model S,model s awd - p90d
Mercedes-Benz,500,500sel
Bmw,7 Series,740il
Audi,100,100 quattro wagon
Jaguar,Xjs,xjs v12 convertible
Nissan,Altima / Stanza,altima / stanza
Federal Coach,Lincoln 24E,lincoln 24e
Ford,Crown Victoria,crown victoria police
Bmw,3 Series,328i convertible
Oldsmobile,Ciera,ciera sl
Suzuki,Sidekick,sidekick sport 4wd
Bentley,Brooklands,brooklands r limo
Volvo,S70,s70 awd
Jaguar,S-Type,s-type (x200) v8
Bmw,M,m coupe
Mazda,Protege/Protege Mps,protege/protege mps
Mercedes-Benz,S-Class,s430
Suzuki,Vitara,vitara 4door
Chevrolet,Tracker,tracker zr2 4wd convertible
Mercury,Sable,sable wagon (ffv)
Ford,Explorer,explorer sport 2wd ffv
Bmw,7 Series,745i
Mercedes-Benz,S-Class,s500
Bmw,X5,x5 4.6is
Mercury,Mountaineer,mountaineer 2wd ffv
Bmw Alpina,Roadster,roadster v8
Chevrolet,Trax,trax
Mercedes-Benz,Gle-Class,amg gle53 4matic plus coupe
Maserati,Quattroporte,quattroporte modena awd
Toyota,Grand Highlander,grand highlander le/xle
Bmw,2 Series,m240i xdrive coupe
Bmw,Ix,ix xdrive50 (22 inch wheels)
Chevrolet,Silverado,silverado ev
Genesis,Gv70,electrified gv70
Genesis,Gv60,gv60 performance
Ford,Mustang Mach-E,mustang mach-e rwd lfp
Rivian,R1T,r1t 22 inch performance dual large
Porsche,718,718 boxster s
Toyota,Tundra,tundra 4wd pro
Toyota,Corolla,gr corolla
Lexus,Tx,tx 350
Aston Martin,Db12 V8,db12 v8
Porsche,Taycan,taycan 4s performance battery plus
Toyota,Mirai,mirai
Toyota,Tacoma,tacoma sr5/sport/prerunner 2wd
Chevrolet,Equinox,equinox ev awd
Ford,Mustang Mach-E,mustang mach-e awd
Lucid,Air,air touring awd with 21inch wheels
Nissan,Ariya,ariya engage fwd 63kwh
Rivian,R1S,r1s quad large (21in)
Mitsubishi,Van,van
Toyota,Van,van 4wd (cargo)
Merkur,Scorpio,scorpio
Mazda,323,323 wagon
Dodge,Raider,raider
Jeep,Wagoneer,wagoneer limited 4wd
Laforza Automobile Inc,Laforza,laforza
Maserati,Karif,karif
Subaru,Legacy/Outback,legacy 4wd
Pontiac,Grand Prix,grand prix ste turbo
Dodge,D250 Cab Chassis,d250 cab chassis 2wd
Chrysler,Tc,tc by maserati
Bmw,3 Series,318is
Rolls-Royce,Eight/Mulsan/Mulsanne,eight/mulsanne s
Lotus,Elan,elan
Rolls-Royce,Corniche/Continental,corniche iv
Mercedes-Benz,560,560se
Mercedes-Benz,400,400se
Ford,Escape,escape 4wd
Chevrolet,Silverado,silverado 15 hybrid 2wd
Mercury,Monterey,monterey wagon fwd
Nissan,Pathfinder,pathfinder armada 2wd
Chevrolet,Tracker,tracker zr2 4wd
Chevrolet,Express Passenger,express passenger (dedicated cng)
Porsche,Carrera 2 Cabriolet Kit,carrera 2 cabriolet kit
Porsche,Turbo 4 911 S,turbo 4 911 s
Suzuki,Forenza,forenza
Ford,Five Hundred,five hundred awd
Mercedes-Benz,E-Class,e55 amg (wagon)
Pontiac,Gto,gto
Acura,Rl,rl
Bugatti,Veyron,veyron
Bmw,Z4,z4 3.0si coupe
Bmw,5 Series,530xi
Cadillac,Dts,dts
Aston Martin,Db9,db9 volante
Dodge,Avenger,avenger awd
Dodge,Caliber,caliber awd
Mercury,Sable,sable fwd
Lexus,Ls,ls 460 awd
Bmw,3 Series,335d
Audi,4000,4000 s quattro
Ford,Bronco Ii,bronco ii 2wd
Suzuki,Swift,swift x
Nissan,Altima,altima hybrid
Mitsubishi,Endeavor,endeavor awd
Mercedes-Benz,190,190d 2.5 turbo
Lexus,Is F,is f
Lincoln,Navigator,navigator 2wd ffv
Bmw,5 Series,550i xdrive gt
Suzuki,Equator,equator 4wd
Chevrolet,Suburban,suburban 2500 2wd
Bmw,3 Series,335i coupe xdrive
Infiniti,G25,g25x
Infiniti,Fx37,fx37 awd
Bmw,6 Series,650i convertible xdrive
Mercedes-Benz,Gl-Class,gl63 amg
Mercedes-Benz,300,300d/300cd
Ferrari,F12,f12
Mercedes-Benz,Sls Amg,sls amg gt roadster
Srt,Viper,viper
Rolls-Royce,Silver Spirit/Silver Spur,silver spirit/silver spur
Infiniti,Qx60,qx60 hybrid fwd
Bmw,2 Series,228i
Cadillac,Srx,srx
Chevrolet,Express Cargo,express 2500 2wd conversion cargo
Hyundai,Santa Fe,santa fe sport awd
Mercedes-Benz,E-Class,e400 convertible
Jaguar,F-Type,f-type r convertible
Hyundai,Azera,azera limited
Scion,Ia,ia
Chevrolet,Impala,impala bi-fuel  (cng)
Lexus,Nx,nx 200t awd
Nissan,Murano,murano hybrid fwd
Ferrari,F60 America,f60 america
Ford,Explorer,explorer sport 4wd
Ford,Explorer,explorer 4wd ffv
Ford,F150,f150 dual-fuel 4wd (cng)
Bitter Gmbh And Co. Kg,Bitter Sc,bitter sc
Cadillac,Armored Deville,armored deville
Jaguar,Xjr,xjr 4.2 litre
Chevrolet,Astro Cargo,astro awd (cargo) conversion
Jaguar,Xj,xj8 4.2 litre
Mercedes-Benz,C-Class,c240 ffv
Aston Martin,Db9,db9 coupe manual
Pontiac,Montana,montana sv6 awd
Bmw,Z4,z4 3.0si
Ford,Freestyle,freestyle awd
Mercedes-Benz,Clk-Class,clk350
Roush Performance,F150,stage 3 f-150 supercrew 2wd
Ford,Courier,courier pickup 2wd
Mercedes-Benz,Ml-Class,ml320 cdi 4matic
Spyker,C8,c8 spyder
Mercedes-Benz,Clk-Class,clk63 amg
Chrysler,Aspen,aspen 4wd
Shelby,Mustang Gt,mustang gt
Saab,9-3,9-3 aero sedan awd
Chevrolet,Van 1500,van 1500 2wd conversion cargo
Oldsmobile,Custom Cruiser,custom cruiser wagon
Jeep,Cj,cj8 4wd
Lamborghini,Countach,countach lp500s
Bill Dovell Motor Car Company,Dovell 230E,dovell 230e
Rolls-Royce,Silver Spirit/Spur/Mulsanne,silver spirit/spur/mulsanne
Jaguar,F-Type,f-type p450 awd r-dynamic convertible
Bmw,4 Series,m440i xdrive gran coupe
Ford,Mustang,mustang dark horse
Hyundai,Santa Cruz,santa cruz fwd
Hyundai,Santa Cruz,santa cruz awd
Lamborghini,Urus,urus s
Bmw,X3,x3 m
Genesis,Gv60,gv60 advanced (20 inch wheels)
Polestar,2,2 single motor (19 inch wheels)
Volvo,C40,c40 recharge
Nissan,Z,z nismo
Jeep,Wagoneer,wagoneer l 2wd
Land Rover,Range Rover,new range rover sport p440 phev
Dodge,Hornet,hornet phev awd
Mercedes-Benz,Amg Gt,amg gt 63 4matic plus
Toyota,Rav4,rav4 hybrid awd woodland edition
Lucid,Air,air sapphire awd
Mercedes-Benz,Eqs,eqs 450 plus
Bmw,3 Series,330e xdrive sedan
Hyundai,Nexo,nexo
Toyota,Corolla Cross,corolla cross awd
Lexus,Rz,rz 450e awd (20 inch wheels)
Rivian,R1T,r1t quad large (21in)
Rivian,R1S,r1s dual standard (21in)
Tesla,Model 3,model 3 long range awd
Chevrolet,Suburban,v10 suburban 4wd
Pontiac,Firebird/Trans Am/Formula,20th anniversary trans am
Audi,80/90,90 quattro 20v
Infiniti,M30,m30
Volvo,740/760,740 16-valve
Nissan,Nx,nx coupe
Volvo,Coupe,coupe
Nissan,Axxess,axxess awd
Subaru,Justy,justy awd
Peugeot,405,405 sports wagon
Mazda,Navajo,navajo 4x4
Oldsmobile,Eighty-Eight,eighty-eight
Am General,Post Office Dj5,post office dj5 2wd
Ferrari,Ferrari Mondial T/Cabriolet,ferrari mondial t/cabriolet
